"County","drug","mean","total","avg_percapita"
"PICKENS","HYDROCODONE",0.00775927388295414,11.336299142996,0.385444074185489
"PICKENS","METHADONE",0.00458518047364819,6.698948672,0.227849631123888
"PICKENS","OXYCODONE",0.0083704292680835,12.22919716067,0.415966131707734
"SHELBY","BUPRENORPHINE",0.439986611758522,642.8204397792,2.04936385536756
"SHELBY","HYDROCODONE",0.0737719088145414,107.780758778045,0.344335426095441
"SHELBY","METHADONE",0.0300130336919918,43.849042224,0.14030524932675
"SHELBY","OXYCODONE",0.149131750289232,217.881487172568,0.696504784958985
"TUSCALOOSA","BUPRENORPHINE",0.144439831058042,211.0265931758,0.693850714295003
"TUSCALOOSA","HYDROCODONE",0.0851968213718631,124.472556024292,0.41002321379755
"TUSCALOOSA","METHADONE",0.0901669309155921,131.73388606768,0.43396489223614
