"","term","estimate","std.error","conf.low","conf.high","model_index"
"197","poverty_rate_z",-0.121455729670769,0.302010359607472,-0.713385157459405,0.470473698117867,16
"198","disability_rate_z",0.00847452677300376,0.279347917524265,-0.539037330730821,0.555986384276828,16
"199","noinsurance_rate_z",-0.143760908787497,0.210690024746987,-0.556705769193443,0.26918395161845,16
"200","METHADONE_annual_percapita_z:intervention2017",-0.0101911830590958,0.122327036347035,-0.249947768634807,0.229565402516615,16
"201","rural_factor3:intervention2017",0.390301616238126,0.18312873286607,0.031375895286172,0.74922733719008,16
"202","rural_factor4:intervention2017",0.182071438655027,0.188405168966616,-0.187195907020723,0.551338784330778,16
"203","rural_factor5:intervention2017",-0.0407564937283341,0.279849088298809,-0.589250627900368,0.5077376404437,16
"204","rural_factor6:intervention2017",0.353727369670108,0.498112398359364,-0.622554991367114,1.33000973070733,16
"205","(Intercept)",-9.01413581998896,0.294959613163208,-9.59224603868271,-8.43602560129521,17
"206","ER_annual_percapita_z",-0.146209027718694,0.127330958146329,-0.395773119802475,0.103355064365087,17
"207","OXYCODONE_annual_percapita_z",-0.300142618480413,0.13113142504835,-0.557155488816592,-0.0431297481442333,17
"208","BUPRENORPHINE_annual_percapita_z",0.451778512738095,0.194328069104927,0.0709024961072268,0.832654529368963,17
"209","intervention2017",-0.249755395479909,0.138528781910642,-0.521266818846971,0.0217560278871526,17
"210","poverty_rate_z",-0.137570647865537,0.239523086051188,-0.607027269991753,0.33188597426068,17
"211","disability_rate_z",-0.0359011470957481,0.262704614096718,-0.55079272929781,0.478990435106313,17
"212","noinsurance_rate_z",-0.24578077938429,0.219576940370056,-0.676143674345098,0.184582115576518,17
"213","rural_factor3",-1.07112227719377,0.44083867822005,-1.93515020949731,-0.207094344890231,17
"214","rural_factor4",-0.539013908288081,0.40173987236215,-1.32640958927161,0.248381772695451,17
"215","rural_factor5",-0.784848139328569,0.466653004986488,-1.69947122237948,0.129774943722338,17
"216","rural_factor6",-0.970133062176655,0.541870170946668,-2.03217908152869,0.0919129571753764,17
"217","ER_annual_percapita_z:intervention2017",-0.077747655169941,0.161442708901933,-0.394169550184314,0.238674239844432,17
"218","OXYCODONE_annual_percapita_z:intervention2017",0.106776932524857,0.152617617575926,-0.192348101330265,0.405901966379979,17
"219","BUPRENORPHINE_annual_percapita_z:intervention2017",-0.195387722749109,0.153057741885068,-0.49537538439887,0.104599938900652,17
"220","(Intercept)",-8.99762718674899,0.278441300901974,-9.54336210832534,-8.45189226517264,18
"221","ER_annual_percapita_z",-0.219239222565438,0.128811380478551,-0.471704889102285,0.0332264439714082,18
"222","OXYCODONE_annual_percapita_z",-0.250681952167923,0.156497914449706,-0.557412228144976,0.0560483238091306,18
"223","METHADONE_annual_percapita_z",-0.0660883384286195,0.142301127436464,-0.344993423163534,0.212816746306294,18
"224","intervention2017",-0.153892937944264,0.12297623228398,-0.394921924175298,0.0871360482867692,18
"225","poverty_rate_z",-0.274850152850772,0.21905041650775,-0.704181080004459,0.154480774302916,18
"226","disability_rate_z",0.109499660603449,0.267124776155221,-0.414055280039107,0.633054601246006,18
"227","noinsurance_rate_z",-0.0589373093354626,0.206620012354656,-0.463905092035809,0.346030473364884,18
"228","rural_factor3",-1.25486352077733,0.466655363279437,-2.16949122599748,-0.340235815557174,18
"229","rural_factor4",-0.491414843434979,0.444377768104983,-1.36237926445104,0.37954957758108,18
"230","rural_factor5",-0.960745964873858,0.513617824268674,-1.96741840225828,0.0459264725105651,18
"231","rural_factor6",-1.04143047246708,0.525416792586616,-2.0712284628094,-0.011632482124764,18
"232","ER_annual_percapita_z:intervention2017",-0.0701858420334614,0.163658779322907,-0.390951155260147,0.250579471193224,18
"233","OXYCODONE_annual_percapita_z:intervention2017",0.0560073387500444,0.130562753149076,-0.199890955144538,0.311905632644627,18
"234","METHADONE_annual_percapita_z:intervention2017",0.147273590655161,0.133487043100372,-0.114356206224314,0.408903387534636,18
"235","(Intercept)",-8.94932707444476,0.298490300058635,-9.53435731229424,-8.36429683659529,19
