Year,State,StateCode,County,CountyCode,Deaths,Population,CrudeRate
2019,Alabama,01,"Butler County, AL",01013,Suppressed,19448,Suppressed
2019,Alabama,01,"Calhoun County, AL",01015,Suppressed,113605,Suppressed
2019,Alabama,01,"Chambers County, AL",01017,Suppressed,33254,Suppressed
2019,Alabama,01,"Cherokee County, AL",01019,Suppressed,26196,Suppressed
2019,Alabama,01,"Chilton County, AL",01021,Suppressed,44428,Suppressed
2019,Alabama,01,"Choctaw County, AL",01023,0,12589,Unreliable
2019,Alabama,01,"Clarke County, AL",01025,Suppressed,23622,Suppressed
2019,Alabama,01,"Clay County, AL",01027,Suppressed,13235,Suppressed
2019,Alabama,01,"Cleburne County, AL",01029,0,14910,Unreliable
2019,Alabama,01,"Coffee County, AL",01031,Suppressed,52342,Suppressed
2019,Alabama,01,"Colbert County, AL",01033,Suppressed,55241,Suppressed
2019,Alabama,01,"Conecuh County, AL",01035,0,12067,Unreliable
2019,Alabama,01,"Coosa County, AL",01037,0,10663,Unreliable
2019,Alabama,01,"Covington County, AL",01039,Suppressed,37049,Suppressed
2019,Alabama,01,"Crenshaw County, AL",01041,0,13772,Unreliable
2019,Alabama,01,"Cullman County, AL",01043,Suppressed,83768,Suppressed
2019,Alabama,01,"Dale County, AL",01045,Suppressed,49172,Suppressed
2019,Alabama,01,"Dallas County, AL",01047,0,37196,Unreliable
2019,Alabama,01,"DeKalb County, AL",01049,Suppressed,71513,Suppressed
2019,Alabama,01,"Elmore County, AL",01051,Suppressed,81209,Suppressed
2019,Alabama,01,"Escambia County, AL",01053,Suppressed,36633,Suppressed
2019,Alabama,01,"Etowah County, AL",01055,14,102268,Unreliable
2019,Alabama,01,"Fayette County, AL",01057,Suppressed,16302,Suppressed
2019,Alabama,01,"Franklin County, AL",01059,0,31362,Unreliable
2019,Alabama,01,"Geneva County, AL",01061,Suppressed,26271,Suppressed
2019,Alabama,01,"Greene County, AL",01063,0,8111,Unreliable
2019,Alabama,01,"Hale County, AL",01065,0,14651,Unreliable
2019,Alabama,01,"Henry County, AL",01067,0,17205,Unreliable
2019,Alabama,01,"Houston County, AL",01069,Suppressed,105882,Suppressed
2019,Alabama,01,"Jackson County, AL",01071,Suppressed,51626,Suppressed
2019,Alabama,01,"Jefferson County, AL",01073,143,658573,21.71
2019,Alabama,01,"Lamar County, AL",01075,0,13805,Unreliable
2019,Alabama,01,"Lauderdale County, AL",01077,Suppressed,92729,Suppressed
2019,Alabama,01,"Lawrence County, AL",01079,Suppressed,32924,Suppressed
2019,Alabama,01,"Lee County, AL",01081,Suppressed,164542,Suppressed
2019,Alabama,01,"Limestone County, AL",01083,Suppressed,98915,Suppressed
2019,Alabama,01,"Lowndes County, AL",01085,0,9726,Unreliable
2019,Alabama,01,"Macon County, AL",01087,0,18068,Unreliable
2019,Alabama,01,"Madison County, AL",01089,33,372909,8.85
2019,Alabama,01,"Marengo County, AL",01091,Suppressed,18863,Suppressed
2019,Alabama,01,"Marion County, AL",01093,Suppressed,29709,Suppressed
2019,Alabama,01,"Marshall County, AL",01095,Suppressed,96774,Suppressed
2019,Alabama,01,"Mobile County, AL",01097,21,413210,5.08
2019,Alabama,01,"Monroe County, AL",01099,0,20733,Unreliable
2019,Alabama,01,"Montgomery County, AL",01101,Suppressed,226486,Suppressed
2019,Alabama,01,"Morgan County, AL",01103,Suppressed,119679,Suppressed
2019,Alabama,01,"Perry County, AL",01105,0,8923,Unreliable
2019,Alabama,01,"Pickens County, AL",01107,0,19930,Unreliable
2019,Alabama,01,"Pike County, AL",01109,0,33114,Unreliable
2019,Alabama,01,"Randolph County, AL",01111,0,22722,Unreliable
2019,Alabama,01,"Russell County, AL",01113,Suppressed,57961,Suppressed
2019,Alabama,01,"St. Clair County, AL",01115,16,89512,Unreliable
2019,Alabama,01,"Shelby County, AL",01117,22,217702,10.11
2019,Alabama,01,"Sumter County, AL",01119,0,12427,Unreliable
2019,Alabama,01,"Talladega County, AL",01121,Suppressed,79978,Suppressed
2019,Alabama,01,"Tallapoosa County, AL",01123,Suppressed,40367,Suppressed
2019,Alabama,01,"Tuscaloosa County, AL",01125,17,209355,Unreliable
2019,Alabama,01,"Walker County, AL",01127,Suppressed,63521,Suppressed
2019,Alabama,01,"Washington County, AL",01129,0,16326,Unreliable
2019,Alabama,01,"Wilcox County, AL",01131,0,10373,Unreliable
2019,Alabama,01,"Winston County, AL",01133,Suppressed,23629,Suppressed
