"","County","year","pop_year","ER_annual","OXYCODONE_annual","HYDROCODONE_annual","BUPRENORPHINE_annual","METHADONE_annual","presence","ER_annual_percapita","ER_annual_per100k","OXYCODONE_annual_percapita","OXYCODONE_annual_per100k","HYDROCODONE_annual_percapita","HYDROCODONE_annual_per100k","BUPRENORPHINE_annual_percapita","BUPRENORPHINE_annual_per100k","METHADONE_annual_percapita","METHADONE_annual_per100k","State","StateCode","CountyCode","Deaths","pop_CDC","CrudeRate","deaths_per100k","state","county","full_fips","employment_status_for_the_population_16_years_and_over_total_in_labor_force_civilian_labor_force","employment_status_for_the_population_16_years_and_over_total_in_labor_force_civilian_labor_force_unemployed","gini_index_of_income_inequality_gini_index","median_household_income_in_the_past_12_months_in_2021_inflation_adjusted_dollars_median_household_income_in_the_past_12_months_in_2021_inflationadjusted_dollars","place_of_birth_by_educational_attainment_in_the_united_states_total_high_school_graduate_includes_equivalency","poverty_status_in_the_past_12_months_by_sex_by_age_total","poverty_status_in_the_past_12_months_by_sex_by_age_total_income_in_the_past_12_months_below_poverty_level","presence_of_own_children_under_18_years_by_age_of_own_children_under_18_years_by_employment_status_for_females_20_to_64_years_total","presence_of_own_children_under_18_years_by_age_of_own_children_under_18_years_by_employment_status_for_females_20_to_64_years_total_with_own_children_of_the_householder_under_18_years_under_6_years_only","sex_by_age_by_disability_status_total_female_18_to_34_years_with_a_disability","sex_by_age_by_disability_status_total_female_35_to_64_years_with_a_disability","sex_by_age_by_disability_status_total_female_5_to_17_years_with_a_disability","sex_by_age_by_disability_status_total_female_65_to_74_years_with_a_disability","sex_by_age_by_disability_status_total_female_75_years_and_over_with_a_disability","sex_by_age_by_disability_status_total_female_under_5_years_with_a_disability","sex_by_age_by_disability_status_total_male_18_to_34_years_with_a_disability","sex_by_age_by_disability_status_total_male_35_to_64_years_with_a_disability","sex_by_age_by_disability_status_total_male_5_to_17_years_with_a_disability","sex_by_age_by_disability_status_total_male_65_to_74_years_with_a_disability","sex_by_age_by_disability_status_total_male_75_years_and_over_with_a_disability","sex_by_age_by_disability_status_total_male_under_5_years","sex_by_age_total","sex_by_age_total_female","sex_by_age_total_male","total_population_total","types_of_health_insurance_coverage_by_age_total_19_to_34_years_no_health_insurance_coverage","types_of_health_insurance_coverage_by_age_total_65_years_and_over_no_health_insurance_coverage","types_of_health_insurance_coverage_by_age_total_under_19_years_no_health_insurance_coverage"
"42","LAUDERDALE",2017,92564,35,19681842.94853,17901168.55517,44528861.04,2982305.248,1,0.000378116762456246,37.8116762456246,212.629563853442,21262956.3853442,193.392339950413,19339233.9950413,481.060250637397,48106025.0637397,32.218845858001,3221884.5858001,"Alabama","01","01077",1,92538,NA,NA,"01","077","01077",42280,1993,0.4601,48094,22873,90346,13175,26892,2160,636,2472,277,1199,2323,6,808,2538,373,1426,1421,2523,92556,47988,44568,92556,3271,59,619
"43","LAUDERDALE",2018,92604,43,17315085.37905,15379503.36425,50441574.21,2540954.624,1,0.000464342792967906,46.4342792967906,186.979886171764,18697988.6171764,166.078175502678,16607817.5502678,544.701894194635,54470189.4194635,27.4389294630901,2743892.94630901,"Alabama","01","01077",1,92387,NA,NA,"01","077","01077",42280,1993,0.4601,48094,22873,90346,13175,26892,2160,636,2472,277,1199,2323,6,808,2538,373,1426,1421,2523,92556,47988,44568,92556,3271,59,619
"44","LAUDERDALE",2019,92729,160,14574316.36419,13821645.99796,54118688.31,2348640.736,1,0.00172545805519309,172.545805519309,157.171072309526,15717107.2309526,149.054190145046,14905419.0145046,583.622041756085,58362204.1756085,25.3280067292864,2532800.67292864,"Alabama","01","01077",1,92729,NA,NA,"01","077","01077",42280,1993,0.4601,48094,22873,90346,13175,26892,2160,636,2472,277,1199,2323,6,808,2538,373,1426,1421,2523,92556,47988,44568,92556,3271,59,619
"45","LAWRENCE",2016,33227,26,9379731.46126,7028205.575299,9616852.8,1065230.4,1,0.000782496162759202,78.2496162759202,282.292456774912,28229245.6774912,211.52091899055,21152091.899055,289.428862070003,28942886.2070003,32.0591807867096,3205918.07867096,"Alabama","01","01079",1,33244,NA,NA,"01","079","01079",13137,692,0.4409,44886,9605,32753,5906,9740,813,295,1588,99,802,855,56,317,1535,190,830,401,829,33058,17103,15955,33058,1045,9,260
"46","LAWRENCE",2017,33063,38,7494382.83938,5441867.74413,11138700.99,1048558.784,1,0.0011493209932553,114.93209932553,226.669777073466,22666977.7073466,164.590864232828,16459086.4232828,336.893233826332,33689323.3826332,31.7139637661434,3171396.37661434,"Alabama","01","01079",1,33049,NA,NA,"01","079","01079",13137,692,0.4409,44886,9605,32753,5906,9740,813,295,1588,99,802,855,56,317,1535,190,830,401,829,33058,17103,15955,33058,1045,9,260
"47","LAWRENCE",2018,32941,27,6785826.29969,4971085.0031,13731431.76,998186.176,1,0.000819647248110258,81.9647248110258,205.999401951671,20599940.1951671,150.908746033818,15090874.6033818,416.849268692511,41684926.8692511,30.3022426763001,3030224.26763001,"Alabama","01","01079",1,32957,NA,NA,"01","079","01079",13137,692,0.4409,44886,9605,32753,5906,9740,813,295,1588,99,802,855,56,317,1535,190,830,401,829,33058,17103,15955,33058,1045,9,260
"48","LAWRENCE",2019,32924,55,5638468.793065,4459025.44059,16928068.62789,590554.432,1,0.00167051391082493,167.051391082493,171.257100992133,17125710.0992133,135.433891404143,13543389.1404143,514.155893205261,51415589.3205261,17.9368980682785,1793689.80682785,"Alabama","01","01079",1,32924,NA,NA,"01","079","01079",13137,692,0.4409,44886,9605,32753,5906,9740,813,295,1588,99,802,855,56,317,1535,190,830,401,829,33058,17103,15955,33058,1045,9,260
"49","LIMESTONE",2016,92847,57,39737652.7517,15428845.41923,84877784.7,2702644.256,1,0.000613913212058548,61.3913212058548,427.990702464269,42799070.2464269,166.1749482399,16617494.82399,914.168305922647,91416830.5922647,29.1085792325008,2910857.92325008,"Alabama","01","01083",1,92753,NA,NA,"01","083","01083",43207,2697,0.4454,59686,20044,91626,12436,27668,2280,1038,3398,301,1356,1814,28,699,2610,614,1267,1291,2593,94727,47436,47291,94727,3737,223,739
"50","LIMESTONE",2017,94130,62,32781931.25069,14407615.59862,105841829.55,1991971.904,1,0.000658663550409009,65.8663550409009,348.262310110379,34826231.0110379,153.060826501859,15306082.6501859,1124.42185859981,112442185.859981,21.161923977478,2116192.3977478,"Alabama","01","01083",1,94402,NA,NA,"01","083","01083",43207,2697,0.4454,59686,20044,91626,12436,27668,2280,1038,3398,301,1356,1814,28,699,2610,614,1267,1291,2593,94727,47436,47291,94727,3737,223,739
"51","LIMESTONE",2018,96177,31,27683608.07733,13367977.06598,115262790.1641,1795847.872,1,0.000322322384769747,32.2322384769748,287.840212081163,28784021.2081163,138.993491853354,13899349.1853354,1198.44443228735,119844443.228735,18.672321573765,1867232.1573765,"Alabama","01","01083",1,96174,NA,NA,"01","083","01083",43207,2697,0.4454,59686,20044,91626,12436,27668,2280,1038,3398,301,1356,1814,28,699,2610,614,1267,1291,2593,94727,47436,47291,94727,3737,223,739
"52","LIMESTONE",2019,98915,35,24831476.79165,12122465.795645,119296304.22,2353908.752,1,0.000353839154829904,35.3839154829904,251.038536032452,25103853.6032452,122.554372902442,12255437.2902442,1206.04867027246,120604867.027246,23.7972880958399,2379728.80958399,"Alabama","01","01083",1,98915,NA,NA,"01","083","01083",43207,2697,0.4454,59686,20044,91626,12436,27668,2280,1038,3398,301,1356,1814,28,699,2610,614,1267,1291,2593,94727,47436,47291,94727,3737,223,739
"53","MADISON",2016,356729,302,136147661.7452,67527505.52853,191811994.41,12935462.1344,1,0.000846581018083755,84.6581018083755,381.655715529716,38165571.5529716,189.296372115892,18929637.2115892,537.696667246005,53769666.7246005,36.261313586504,3626131.3586504,"Alabama","01","01089",16,356967,NA,4.48220703874588,"01","089","01089",186248,9338,0.462,65449,51126,352884,44038,109598,9012,2778,9773,1449,4455,6478,118,2913,8459,2338,4029,4289,10826,362276,185341,176935,362276,13241,159,2822
"54","MADISON",2017,361762,471,117518944.3294,60335445.32883,212388159.135,10322200.1896,1,0.00130196095775676,130.196095775676,324.851544190379,32485154.4190379,166.782153263278,16678215.3263278,587.093611642461,58709361.1642461,28.5331245116955,2853312.45116955,"Alabama","01","01089",20,361046,5.54,5.53946034577312,"01","089","01089",186248,9338,0.462,65449,51126,352884,44038,109598,9012,2778,9773,1449,4455,6478,118,2913,8459,2338,4029,4289,10826,362276,185341,176935,362276,13241,159,2822
