,term,estimate,std.error,conf.low,conf.high,model_index,,Formula
36,ER_annual_percapita_z,-0.244898702,0.08913322,-0.419596604,-0.0702008,41,,Deaths ~ (ER_annual_percapita_z + METHADONE_annual_percapita_z) +      intervention2017 + poverty_rate_z + disability_rate_z + noinsurance_rate_z +      rural_factor
37,ER_annual_percapita_z,-0.209623202,0.087204462,-0.380540807,-0.038705597,42,,Deaths ~ (ER_annual_percapita_z + rural_factor) + intervention2017 +      poverty_rate_z + disability_rate_z + noinsurance_rate_z +      rural_factor
38,ER_annual_percapita_z,-0.22371201,0.086391865,-0.393036954,-0.054387065,49,,Deaths ~ (ER_annual_percapita_z + OXYCODONE_annual_percapita_z +      BUPRENORPHINE_annual_percapita_z) + intervention2017 + poverty_rate_z +      disability_rate_z + noinsurance_rate_z + rural_factor
39,ER_annual_percapita_z,-0.226955494,0.088228328,-0.399879839,-0.054031149,50,,Deaths ~ (ER_annual_percapita_z + OXYCODONE_annual_percapita_z +      METHADONE_annual_percapita_z) + intervention2017 + poverty_rate_z +      disability_rate_z + noinsurance_rate_z + rural_factor
40,ER_annual_percapita_z,-0.209549459,0.086483831,-0.379054652,-0.040044265,51,,Deaths ~ (ER_annual_percapita_z + OXYCODONE_annual_percapita_z +      rural_factor) + intervention2017 + poverty_rate_z + disability_rate_z +      noinsurance_rate_z + rural_factor
41,ER_annual_percapita_z,-0.249039258,0.089315748,-0.424094907,-0.073983609,52,,Deaths ~ (ER_annual_percapita_z + BUPRENORPHINE_annual_percapita_z +      METHADONE_annual_percapita_z) + intervention2017 + poverty_rate_z +      disability_rate_z + noinsurance_rate_z + rural_factor
42,ER_annual_percapita_z,-0.224086601,0.087748777,-0.396071043,-0.052102158,53,,Deaths ~ (ER_annual_percapita_z + BUPRENORPHINE_annual_percapita_z +      rural_factor) + intervention2017 + poverty_rate_z + disability_rate_z +      noinsurance_rate_z + rural_factor
43,ER_annual_percapita_z,-0.244887052,0.089140182,-0.419598598,-0.070175505,54,,Deaths ~ (ER_annual_percapita_z + METHADONE_annual_percapita_z +      rural_factor) + intervention2017 + poverty_rate_z + disability_rate_z +      noinsurance_rate_z + rural_factor
44,ER_annual_percapita_z,-0.224014844,0.087754785,-0.396011063,-0.052018626,59,,Deaths ~ (ER_annual_percapita_z + OXYCODONE_annual_percapita_z +      BUPRENORPHINE_annual_percapita_z + METHADONE_annual_percapita_z) +      intervention2017 + poverty_rate_z + disability_rate_z + noinsurance_rate_z +      rural_factor
45,ER_annual_percapita_z,-0.223712036,0.086435356,-0.39312222,-0.054301852,60,,Deaths ~ (ER_annual_percapita_z + OXYCODONE_annual_percapita_z +      BUPRENORPHINE_annual_percapita_z + rural_factor) + intervention2017 +      poverty_rate_z + disability_rate_z + noinsurance_rate_z +      rural_factor
46,ER_annual_percapita_z,-0.227043098,0.088148427,-0.39981084,-0.054275356,61,,Deaths ~ (ER_annual_percapita_z + OXYCODONE_annual_percapita_z +      METHADONE_annual_percapita_z + rural_factor) + intervention2017 +      poverty_rate_z + disability_rate_z + noinsurance_rate_z +      rural_factor
47,ER_annual_percapita_z,-0.249037086,NA,NA,NA,62,,Deaths ~ (ER_annual_percapita_z + BUPRENORPHINE_annual_percapita_z +      METHADONE_annual_percapita_z + rural_factor) + intervention2017 +      poverty_rate_z + disability_rate_z + noinsurance_rate_z +      rural_factor
48,ER_annual_percapita_z,-0.224014853,0.087733031,-0.395968433,-0.052061272,64,,Deaths ~ (ER_annual_percapita_z + OXYCODONE_annual_percapita_z +      BUPRENORPHINE_annual_percapita_z + METHADONE_annual_percapita_z +      rural_factor) + intervention2017 + poverty_rate_z + disability_rate_z +      noinsurance_rate_z + rural_factor
49,ER_annual_percapita_z,-0.200933219,0.086723456,-0.37090807,-0.030958368,65,,Deaths ~ ER_annual_percapita_z
