"","Date","County","Count","pop","case_percapita"
"20457",2016-06-01,"MADISON",3,356729,8.40974521275254e-06
"20459",2016-06-01,"MARENGO",0,19525,0
"20461",2016-06-01,"MARION",0,29960,0
"20463",2016-06-01,"MARSHALL",0,95113,0
"20465",2016-06-01,"MOBILE",0,414945,0
"20467",2016-06-01,"MONROE",0,21548,0
"20469",2016-06-01,"MONTGOMERY",0,227170,0
"20471",2016-06-01,"MORGAN",0,119006,0
"20473",2016-06-01,"PERRY",0,9532,0
"20475",2016-06-01,"PICKENS",0,20325,0
"20477",2016-06-01,"PIKE",0,33464,0
"20479",2016-06-01,"RANDOLPH",0,22504,0
"20481",2016-06-01,"RUSSELL",0,58185,0
"20483",2016-06-01,"SHELBY",1,211282,4.73301085752691e-06
"20485",2016-06-01,"SAINT CLAIR",2,87306,2.29079330172039e-05
"20487",2016-06-01,"SUMTER",0,12967,0
"20489",2016-06-01,"TALLADEGA",0,80552,0
"20491",2016-06-01,"TALLAPOOSA",0,40586,0
"20493",2016-06-01,"TUSCALOOSA",1,206464,4.84345939243645e-06
"20495",2016-06-01,"WALKER",0,64533,0
"20497",2016-06-01,"WASHINGTON",0,16621,0
"20499",2016-06-01,"WILCOX",0,10844,0
"20501",2016-06-01,"WINSTON",0,23907,0
"20503",2016-06-02,"AUTAUGA",0,55243,0
"20505",2016-06-02,"BALDWIN",0,207601,0
"20507",2016-06-02,"BARBOUR",0,25806,0
"20509",2016-06-02,"BIBB",0,22586,0
"20511",2016-06-02,"BLOUNT",2,57494,3.47862385640241e-05
"20513",2016-06-02,"BULLOCK",0,10389,0
"20515",2016-06-02,"BUTLER",0,20012,0
"20517",2016-06-02,"CALHOUN",0,114973,0
"20519",2016-06-02,"CHAMBERS",0,33745,0
"20521",2016-06-02,"CHEROKEE",0,25768,0
"20523",2016-06-02,"CHILTON",0,43866,0
"20525",2016-06-02,"CHOCTAW",0,13045,0
"20527",2016-06-02,"CLARKE",0,24340,0
"20529",2016-06-02,"CLAY",0,13393,0
"20531",2016-06-02,"CLEBURNE",0,14848,0
"20533",2016-06-02,"COFFEE",0,51202,0
"20535",2016-06-02,"COLBERT",0,54497,0
"20537",2016-06-02,"CONECUH",0,12500,0
"20539",2016-06-02,"COOSA",0,10819,0
"20541",2016-06-02,"COVINGTON",0,37382,0
"20543",2016-06-02,"CRENSHAW",0,13916,0
"20545",2016-06-02,"CULLMAN",0,82450,0
"20547",2016-06-02,"DALE",0,49362,0
"20549",2016-06-02,"DALLAS",0,40080,0
"20551",2016-06-02,"DE KALB",0,71104,0
"20553",2016-06-02,"ELMORE",0,81204,0
"20555",2016-06-02,"ESCAMBIA",0,37475,0
"20557",2016-06-02,"ETOWAH",0,102855,0
"20559",2016-06-02,"FAYETTE",0,16563,0
"20561",2016-06-02,"FRANKLIN",0,31611,0
"20563",2016-06-02,"GENEVA",0,26494,0
"20565",2016-06-02,"GREENE",0,8482,0
"20567",2016-06-02,"HALE",0,14828,0
"20569",2016-06-02,"HENRY",0,17072,0
"20571",2016-06-02,"HOUSTON",0,104218,0
"20573",2016-06-02,"JACKSON",0,51988,0
